"Code","Categorie","Nom fédération","Nom catégorie"
"fede.255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"fede.256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"fede.257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"fede.258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
"fede.260",2,"Fédération française de polo","Fédération unisport non olympique"
"fede.261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"fede.263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"fede.264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"fede.265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"fede.266",2,"Fédération de force","Fédération unisport non olympique"
"fede.267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"fede.401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"fede.402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"fede.403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"fede.404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"fede.405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"fede.406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"fede.407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"fede.408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"fede.409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"fede.410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"fede.411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"fede.413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"fede.414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"fede.415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"fede.417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"fede.418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"fede.420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"fede.421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"fede.501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"fede.503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"fede.601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"fede.602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"fede.603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"fede.604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"fede.605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
